CTeamplayRoundBasedRules

+0x0000:  006c9ce0  CGameRules::Name()
+0x0004:  006d8290  CMultiplayRules::Init()
+0x0008:  005f99c0  CBaseGameSystemPerFrame::PostInit()
+0x000c:  005f99d0  CBaseGameSystemPerFrame::Shutdown()
+0x0010:  005f99e0  CBaseGameSystemPerFrame::LevelInitPreEntity()
+0x0014:  007229d0  CTeamplayRoundBasedRules::LevelInitPostEntity()
+0x0018:  005e7ad0  CBaseGameSystemPerFrame::LevelShutdownPreClearSteamAPIContext()
+0x001c:  005e7ae0  CBaseGameSystemPerFrame::LevelShutdownPreEntity()
+0x0020:  005f99f0  CBaseGameSystemPerFrame::LevelShutdownPostEntity()
+0x0024:  005e7af0  CBaseGameSystemPerFrame::OnSave()
+0x0028:  005e7b00  CBaseGameSystemPerFrame::OnRestore()
+0x002c:  005e7b10  CBaseGameSystemPerFrame::SafeRemoveIfDesired()
+0x0030:  005e7b20  CBaseGameSystemPerFrame::IsPerFrame()
+0x0034:  0072cb40  CTeamplayRoundBasedRules::~CTeamplayRoundBasedRules()
+0x0038:  0072c980  CTeamplayRoundBasedRules::~CTeamplayRoundBasedRules()
+0x003c:  005e7b30  CBaseGameSystemPerFrame::FrameUpdatePreEntityThink()
+0x0040:  006d8f70  CMultiplayRules::FrameUpdatePostEntityThink()
+0x0044:  005f9a00  CBaseGameSystemPerFrame::PreClientUpdate()
+0x0048:  006d8230  CMultiplayRules::Damage_IsTimeBased(int)
+0x004c:  006d8240  CMultiplayRules::Damage_ShouldGibCorpse(int)
+0x0050:  006d8250  CMultiplayRules::Damage_ShowOnHUD(int)
+0x0054:  006d8260  CMultiplayRules::Damage_NoPhysicsForce(int)
+0x0058:  006d8280  CMultiplayRules::Damage_ShouldNotBleed(int)
+0x005c:  006d81d0  CMultiplayRules::Damage_GetTimeBased()
+0x0060:  006d81e0  CMultiplayRules::Damage_GetShouldGibCorpse()
+0x0064:  006d81f0  CMultiplayRules::Damage_GetShowOnHud()
+0x0068:  006d8200  CMultiplayRules::Damage_GetNoPhysicsForce()
+0x006c:  006d8220  CMultiplayRules::Damage_GetShouldNotBleed()
+0x0070:  006d8450  CMultiplayRules::SwitchToNextBestWeapon(CBaseCombatCharacter*, CBaseCombatWeapon*)
+0x0074:  006d82d0  CMultiplayRules::GetNextBestWeapon(CBaseCombatCharacter*, CBaseCombatWeapon*)
+0x0078:  006c79c0  CGameRules::ShouldCollide(int, int)
+0x007c:  006c9cf0  CGameRules::DefaultFOV()
+0x0080:  006c7b20  CGameRules::GetViewVectors() const
+0x0084:  006c7ef0  CGameRules::GetAmmoDamage(CBaseEntity*, CBaseEntity*, int)
+0x0088:  006c9d00  CGameRules::GetDamageMultiplier()
